step,customer,age,gender,merchant,category,amount,fraud,amount_zscore,customer_tx_count,merchant_tx_count,risk_score,risk_score_scaled,cost
58,C1426091756,1,F,M1823072687,es_transportation,7.89,0,-1.0989795383108,7,10103,2.2363117563041984e-56,2.2363117563041984e-56,1.001
148,C22920054,3,M,M1823072687,es_transportation,21.21,0,-0.334456781138272,6,10103,4.0455003940042817e-56,4.0455003940042817e-56,1.001
116,C1948527523,5,M,M1823072687,es_transportation,48.66,0,1.2410799819537617,4,10103,1.3644243757405554e-55,1.3644243757405554e-55,1.001
15,C359628860,4,F,M1842530320,es_tech,54.77,0,-0.547577091846822,7,23,0.038860874383978665,0.038860874383978665,0.9621391256160213
113,C892943299,3,F,M1823072687,es_transportation,19.69,0,-0.421699618293095,6,10103,3.8229126363809815e-56,3.8229126363809815e-56,1.001
36,C1076053396,4,M,M348934600,es_transportation,12.94,0,-0.8091266911845788,6,6913,3.332282301293872e-39,3.332282301293872e-39,1.001
48,C1516302826,3,F,M348934600,es_transportation,40.42,0,0.7681319700091951,6,6913,9.270088600206801e-39,9.270088600206801e-39,1.001
23,C1314174420,2,M,M348934600,es_transportation,17.67,0,-0.5376407571435835,3,6913,5.313792240710096e-39,5.313792240710096e-39,1.001
162,C6094907,5,M,M349281107,es_fashion,25.19,0,-0.7597614540513881,8,101,0.00843876266874217,0.00843876266874217,0.9925612373312578
64,C55178455,3,M,M348934600,es_transportation,47.67,0,1.1842573445963442,8,6913,1.0004460304662588e-38,1.0004460304662588e-38,1.001
175,C668875156,3,F,M1823072687,es_transportation,3.62,0,-1.344063034791783,6,10103,2.1015901763060715e-56,2.1015901763060715e-56,1.001
122,C1159279360,2,F,M1823072687,es_transportation,14.05,0,-0.7454164614202015,5,10103,3.4139537231876413e-56,3.4139537231876413e-56,1.001
17,C621230638,4,M,M348934600,es_transportation,50.96,0,1.373092169753823,7,6913,1.2458103490231769e-38,1.2458103490231769e-38,1.001
50,C876777476,1,F,M348934600,es_transportation,37.92,0,0.6246404615308678,5,6913,9.30507452602487e-39,9.30507452602487e-39,1.001
1,C1152092987,3,M,M348934600,es_transportation,25.12,0,-0.1100360618781681,4,6913,6.365146267845803e-39,6.365146267845803e-39,1.001
38,C1557689947,1,F,M1823072687,es_transportation,27.3,0,0.0150885335149332,10,10103,3.445125256323739e-56,3.445125256323739e-56,1.001
73,C1304555023,2,F,M840466850,es_tech,43.51,0,-0.6449123717651349,2,37,0.043363765156671445,0.043363765156671445,0.9576362348433286
5,C753013685,2,M,M348934600,es_transportation,1.45,0,-1.4686136641509713,7,6913,1.9719338985499474e-39,1.9719338985499474e-39,1.001
84,C1872482068,4,M,M1823072687,es_transportation,27.28,0,0.0139406014471067,8,10103,4.178321332290572e-56,4.178321332290572e-56,1.001
146,C1076053396,4,M,M1400236507,es_home,48.71,0,-0.6738649176599502,6,28,0.035263555078620716,0.035263555078620716,0.9657364449213793
21,C993553940,2,M,M348934600,es_transportation,56.29,0,1.6790160658296167,11,6913,1.0313255228831227e-38,1.0313255228831227e-38,1.001
86,C1275053057,1,F,M1823072687,es_transportation,23.63,0,-0.1955570009312513,9,10103,3.3107203002640835e-56,3.3107203002640835e-56,1.001
91,C1631930247,3,M,M1823072687,es_transportation,15.91,0,-0.6386587791123259,4,10103,4.0308189644356796e-56,4.0308189644356796e-56,1.001
119,C1865204568,5,M,M1823072687,es_transportation,55.63,0,1.6411343075913385,7,10103,1.3227313301355407e-55,1.3227313301355407e-55,1.001
95,C1169655012,2,F,M348934600,es_transportation,73.76,0,2.6817347270761687,9,6913,2.3988320247258855e-38,2.3988320247258855e-38,1.001
57,C869954068,3,F,M1823072687,es_transportation,0.9,0,-1.5001817960162032,8,10103,1.5647550336964902e-56,1.5647550336964902e-56,1.001
122,C1394931354,4,M,M1823072687,es_transportation,0.67,0,-1.513383014796209,10,10103,1.2782244602053875e-56,1.2782244602053875e-56,1.001
60,C741739992,2,F,M1823072687,es_transportation,18.35,0,-0.4986110668374784,8,10103,2.996448541036857e-56,2.996448541036857e-56,1.001
134,C1497895052,2,M,M85975013,es_food,72.76,0,1.3731326589568014,6,915,2.127914168435881e-06,2.127914168435881e-06,1.0009978720858315
117,C1740393527,2,F,M1823072687,es_transportation,33.9,0,0.3939061158977173,5,10103,7.148670281643346e-56,7.148670281643346e-56,1.001
175,C1338396147,1,F,M1823072687,es_transportation,4.33,0,-1.303311446383938,11,10103,1.329621264358963e-56,1.329621264358963e-56,1.001
101,C284165615,3,F,M1600850729,es_fashion,2.5,0,-1.258939037081484,4,101,0.0073944455305644885,0.0073944455305644885,0.9936055544694355
85,C941334726,3,F,M1823072687,es_transportation,13.56,0,-0.7735407970819537,7,10103,2.761940296633322e-56,2.761940296633322e-56,1.001
135,C2084566155,2,F,M348934600,es_transportation,37.16,0,0.581019042953456,3,6913,1.0978705399428918e-38,1.0978705399428918e-38,1.001
100,C1760492708,1,F,M1823072687,es_transportation,42.4,0,0.8817772447240302,10,10103,6.044589264038823e-56,6.044589264038823e-56,1.001
139,C917831365,5,F,M348934600,es_transportation,33.94,0,0.3962019800333705,8,6913,6.000456789595817e-39,6.000456789595817e-39,1.001
108,C1973818754,2,F,M1823072687,es_transportation,70.99,0,2.522746135682181,7,10103,2.3433519981775093e-55,2.3433519981775093e-55,1.001
37,C270217031,3,F,M1823072687,es_transportation,39.19,0,0.6975341478378578,7,10103,7.172037053435689e-56,7.172037053435689e-56,1.001
28,C1567385001,2,F,M17379832,es_sportsandtoys,34.79,1,-0.8376067798622874,6,14,0.03234134054096742,0.03234134054096742,0.9686586594590326
22,C2039473569,2,M,M348934600,es_transportation,35.38,0,0.4788530889168872,12,6913,4.297621751156752e-39,4.297621751156752e-39,1.001
174,C1207935724,4,M,M1823072687,es_transportation,53.17,0,1.4999386632486644,3,10103,1.7780121182341085e-55,1.7780121182341085e-55,1.001
32,C635603510,2,M,M348934600,es_transportation,49.98,0,1.3168434984303186,8,6913,1.0902988818032082e-38,1.0902988818032082e-38,1.001
46,C1181615831,3,M,M1823072687,es_transportation,30.42,0,0.1941659360958858,6,10103,5.700261289146109e-56,5.700261289146109e-56,1.001
92,C1977780197,1,F,M348934600,es_transportation,10.31,0,-0.9600797581037792,6,6913,3.02145128026044e-39,3.02145128026044e-39,1.001
114,C1354917220,2,M,M1823072687,es_transportation,48.25,0,1.217547374563316,4,10103,1.343754437168981e-55,1.343754437168981e-55,1.001
88,C2095181585,4,M,M1823072687,es_transportation,17.84,0,-0.5278833345670573,6,10103,3.5684573709844464e-56,3.5684573709844464e-56,1.001
84,C1694165271,2,M,M348934600,es_transportation,21.42,0,-0.3224034944260925,4,6913,5.546010242167302e-39,5.546010242167302e-39,1.001
163,C817774765,1,M,M1823072687,es_transportation,44.42,0,0.9977183835745188,5,10103,1.0576209114371295e-55,1.0576209114371295e-55,1.001
65,C574852748,4,F,M348934600,es_transportation,21.29,0,-0.3298650528669656,4,6913,5.519231520698888e-39,5.519231520698888e-39,1.001
71,C2104407126,2,F,M1823072687,es_transportation,20.62,0,-0.3683207771391573,4,10103,4.803439937882806e-56,4.803439937882806e-56,1.001
149,C937166633,3,F,M348934600,es_transportation,7.66,0,-1.112180757090806,3,6913,3.660549899156089e-39,3.660549899156089e-39,1.001
37,C1135495199,2,M,M348934600,es_transportation,31.15,0,0.2360654565715572,6,6913,6.564341858206936e-39,6.564341858206936e-39,1.001
95,C1724556830,1,M,M1823072687,es_transportation,16.76,0,-0.5898716662296946,8,10103,2.824210566592717e-56,2.824210566592717e-56,1.001
118,C1508373758,3,M,M1823072687,es_transportation,10.63,0,-0.9417128450185532,5,10103,3.005781536293204e-56,3.005781536293204e-56,1.001
43,C167330970,2,F,M1823072687,es_transportation,37.48,0,0.5993859560386819,6,10103,7.413998986101729e-56,7.413998986101729e-56,1.001
97,C1530773220,5,F,M78078399,es_wellnessandbeauty,18.49,0,-0.7895675298318564,1,55,0.025865243511580756,0.025865243511580756,0.9751347564884193
170,C27152267,5,F,M1823072687,es_transportation,7.0,0,-1.1500625153290844,5,10103,2.6257995373740243e-56,2.6257995373740243e-56,1.001
101,C470079617,5,F,M209847108,es_wellnessandbeauty,23.41,0,-0.7026957886765232,4,127,0.009004230524926386,0.009004230524926386,0.9919957694750736
104,C1669649966,3,F,M1823072687,es_transportation,2.18,0,-1.4267141436752997,5,10103,2.194440621991711e-56,2.194440621991711e-56,1.001
36,C1800696439,5,M,M348934600,es_transportation,38.15,0,0.6378416803108737,6,6913,8.518806819214278e-39,8.518806819214278e-39,1.001
144,C1100510913,2,M,M1823072687,es_transportation,8.55,0,-1.0610977800725216,9,10103,1.8883570144821287e-56,1.8883570144821287e-56,1.001
179,C1828345671,4,M,M1823072687,es_transportation,8.57,0,-1.059949848004695,8,10103,2.081937104723789e-56,2.081937104723789e-56,1.001
127,C2084449024,4,F,M1600850729,es_fashion,85.22,0,0.5608921514707215,9,101,0.02971027237343821,0.02971027237343821,0.9712897276265617
101,C44197733,2,M,M1823072687,es_transportation,10.96,0,-0.922771965899414,7,10103,2.507108823890021e-56,2.507108823890021e-56,1.001
76,C474891377,4,M,M1823072687,es_transportation,74.04,0,2.6978057760257412,8,10103,2.382839926628749e-55,2.382839926628749e-55,1.001
154,C1866572071,3,F,M1823072687,es_transportation,23.58,0,-0.1984268311008178,8,10103,3.640609646475922e-56,3.640609646475922e-56,1.001
147,C752612398,1,F,M85975013,es_food,30.81,0,-0.2445041426451193,6,915,6.140122575769467e-07,6.140122575769467e-07,1.0009993859877424
97,C1303226190,1,F,M1823072687,es_transportation,34.39,0,0.4220304515594695,8,10103,5.444626314680036e-56,5.444626314680036e-56,1.001
68,C778323844,2,F,M348934600,es_transportation,8.81,0,-1.0461746631907756,7,6913,2.5935881188528114e-39,2.5935881188528114e-39,1.001
134,C212188289,4,M,M1823072687,es_transportation,22.87,0,-0.2391784195086626,9,10103,3.2183520905325363e-56,3.2183520905325363e-56,1.001
117,C852586467,4,M,M1823072687,es_transportation,22.3,0,-0.2718944834417213,3,10103,5.633489513270201e-56,5.633489513270201e-56,1.001
67,C1896250849,1,M,M1823072687,es_transportation,5.19,0,-1.2539503674673935,4,10103,2.7042983285320173e-56,2.7042983285320173e-56,1.001
30,C608244416,1,F,M348934600,es_transportation,15.81,0,-0.644398439451459,6,6913,3.70807657508642e-39,3.70807657508642e-39,1.001
101,C1600642825,3,F,M348934600,es_transportation,26.24,0,-0.0457518660798776,5,6913,6.023630093109876e-39,6.023630093109876e-39,1.001
179,C56859969,6,F,M1823072687,es_transportation,59.56,0,1.8667029589192692,10,10103,1.1450858873369283e-55,1.1450858873369283e-55,1.001
85,C1289834917,2,F,M1535107174,es_wellnessandbeauty,18.63,0,-0.7870955697176802,3,59,0.0204601600501181,0.0204601600501181,0.9805398399498819
77,C871962456,2,F,M1823072687,es_transportation,36.28,0,0.530510031969085,7,10103,6.435596855114235e-56,6.435596855114235e-56,1.001
7,C1874220848,2,M,M1823072687,es_transportation,51.27,0,1.3908851168051355,6,10103,1.2388880226427357e-55,1.2388880226427357e-55,1.001
8,C483485800,4,F,M348934600,es_transportation,29.36,0,0.1333255365010749,9,6913,4.592690609713018e-39,4.592690609713018e-39,1.001
39,C177123752,4,M,M1823072687,es_transportation,38.91,0,0.681463098888285,7,10103,7.097657221436699e-56,7.097657221436699e-56,1.001
61,C480669012,5,F,M348934600,es_transportation,35.05,0,0.4599122097977478,7,6913,6.889579807699735e-39,6.889579807699735e-39,1.001
179,C809005315,2,F,M1823072687,es_transportation,39.96,0,0.7417295324491828,5,10103,8.958047712223138e-56,8.958047712223138e-56,1.001
15,C903741897,2,F,M1823072687,es_transportation,45.84,0,1.079221560390209,4,10103,1.2284317837658008e-55,1.2284317837658008e-55,1.001
130,C46234453,3,F,M1823072687,es_transportation,19.23,0,-0.4481020558531073,9,10103,2.81045096970443e-56,2.81045096970443e-56,1.001
56,C474891377,4,M,M1823072687,es_transportation,18.49,0,-0.4905755423626923,8,10103,3.012108248652859e-56,3.012108248652859e-56,1.001
162,C1060120913,1,M,M1823072687,es_transportation,13.95,0,-0.7511561217593347,8,10103,2.543667523697136e-56,2.543667523697136e-56,1.001
157,C1839662768,3,F,M1823072687,es_transportation,16.66,0,-0.5956113265688278,5,10103,3.762360683811679e-56,3.762360683811679e-56,1.001
81,C1611113200,6,M,M1823072687,es_transportation,36.27,0,0.5299360659351718,10,10103,4.8111269309556e-56,4.8111269309556e-56,1.001
2,C909525375,2,M,M348934600,es_transportation,28.6,0,0.0897041179236635,9,6913,4.464555771673081e-39,4.464555771673081e-39,1.001
151,C255292461,5,F,M1823072687,es_transportation,24.62,0,-0.1387343635738335,6,10103,4.5931514829872825e-56,4.5931514829872825e-56,1.001
64,C1321650743,3,M,M348934600,es_transportation,27.13,0,0.0053311109384069,9,6913,4.2267723800306394e-39,4.2267723800306394e-39,1.001
99,C1320820565,2,F,M348934600,es_transportation,26.97,0,-0.003852345604206,6,6913,5.618262613055263e-39,5.618262613055263e-39,1.001
143,C1416816772,2,F,M348934600,es_transportation,29.4,0,0.1356214006367281,5,6913,6.775703630656514e-39,6.775703630656514e-39,1.001
21,C382331420,4,F,M348934600,es_transportation,6.71,0,-1.1667075303125705,3,6913,3.533337802210961e-39,3.533337802210961e-39,1.001
112,C909525375,2,M,M1823072687,es_transportation,51.24,0,1.3891632187033958,9,10103,9.254791634920347e-56,9.254791634920347e-56,1.001
91,C951689990,3,F,M1823072687,es_transportation,58.56,0,1.809306355527938,7,10103,1.475192607133525e-55,1.475192607133525e-55,1.001
87,C1903005844,2,F,M1823072687,es_transportation,17.44,0,-0.5508419759235896,9,10103,2.6292527209442257e-56,2.6292527209442257e-56,1.001
20,C1781238594,4,F,M348934600,es_transportation,7.1,0,-1.1443228549899516,8,6913,2.2089749595767083e-39,2.2089749595767083e-39,1.001
67,C1695454092,2,M,M1946091778,es_wellnessandbeauty,168.34,0,1.8563126352345432,8,175,0.06860660283378744,0.06860660283378744,0.9323933971662125
64,C1177396126,2,M,M1823072687,es_transportation,26.34,0,-0.0400122057407444,7,10103,4.444904839403976e-56,4.444904839403976e-56,1.001
83,C1275053057,1,F,M1823072687,es_transportation,28.48,0,0.0828165255167037,9,10103,3.965932468856032e-56,3.965932468856032e-56,1.001
34,C1214780453,6,F,M1823072687,es_transportation,40.63,0,0.7801852567213746,7,10103,7.567053887451921e-56,7.567053887451921e-56,1.001
119,C957324981,4,M,M1823072687,es_transportation,11.8,0,-0.874558819050696,6,10103,2.8498093131181877e-56,2.8498093131181877e-56,1.001
72,C1551465414,1,M,M348934600,es_transportation,33.32,0,0.3606160859307454,4,6913,8.637728569800082e-39,8.637728569800082e-39,1.001
163,C1690998552,2,F,M348934600,es_transportation,52.49,0,1.4609089729425593,3,6913,1.9428171610273392e-38,1.9428171610273392e-38,1.001
112,C1674379117,3,F,M1823072687,es_transportation,48.21,0,1.2152515104276629,9,10103,8.267469340268585e-56,8.267469340268585e-56,1.001
105,C1128349548,2,F,M1823072687,es_transportation,16.7,0,-0.5933154624331746,8,10103,2.8179085470336333e-56,2.8179085470336333e-56,1.001
54,C1421601814,2,F,M348934600,es_transportation,3.3,0,-1.362429947877009,12,6913,1.3016843428057184e-39,1.3016843428057184e-39,1.001
177,C1702053445,4,F,M1823072687,es_transportation,25.4,0,-0.0939650129285955,5,10103,5.2093460200342965e-56,5.2093460200342965e-56,1.001
150,C1470676414,2,F,M348934600,es_transportation,46.71,0,1.1291566053406663,6,6913,1.1716314210680496e-38,1.1716314210680496e-38,1.001
170,C1102156492,4,M,M1823072687,es_transportation,48.16,0,1.2123816802580962,9,10103,8.252092934156292e-56,8.252092934156292e-56,1.001
111,C1070471979,3,M,M1823072687,es_transportation,7.12,0,-1.1431749229221246,7,10103,2.173110014146835e-56,2.173110014146835e-56,1.001
119,C1698085181,2,M,M1823072687,es_transportation,19.01,0,-0.4607293085992,6,10103,3.727339987125123e-56,3.727339987125123e-56,1.001
159,C524663308,2,F,M85975013,es_food,34.24,0,-0.1122396794867261,8,915,5.600041429649676e-07,5.600041429649676e-07,1.000999439995857
101,C191366309,2,F,M348934600,es_transportation,55.89,0,1.6560574244730843,4,6913,2.001467991134827e-38,2.001467991134827e-38,1.001
151,C2117552812,1,F,M1823072687,es_transportation,44.37,0,0.994848553404952,9,10103,7.166071230650813e-56,7.166071230650813e-56,1.001
169,C222098023,3,M,M1823072687,es_transportation,24.04,0,-0.1720243935408056,7,10103,4.080113673613339e-56,4.080113673613339e-56,1.001
43,C17589297,4,F,M1823072687,es_transportation,17.96,0,-0.5209957421600976,7,10103,3.2535745710386835e-56,3.2535745710386835e-56,1.001
118,C1694039833,6,F,M1823072687,es_transportation,2.41,0,-1.4135129248952931,4,10103,2.4383888341103205e-56,2.4383888341103205e-56,1.001
3,C131682780,2,F,M348934600,es_transportation,24.79,0,-0.1289769409973074,9,6913,3.8741093057862634e-39,3.8741093057862634e-39,1.001
135,C33469777,1,M,M1823072687,es_transportation,60.9,0,1.943614407463652,5,10103,1.9534663342015366e-55,1.9534663342015366e-55,1.001
18,C2075699398,3,F,M1823072687,es_transportation,20.77,0,-0.3597112866304577,7,10103,3.6124138068835473e-56,3.6124138068835473e-56,1.001
77,C1156672988,5,M,M85975013,es_food,30.58,0,-0.2533731882796471,8,915,5.024552957027687e-07,5.024552957027687e-07,1.0009994975447043
159,C1719535099,3,F,M1823072687,es_transportation,12.97,0,-0.8074047930828389,7,10103,2.701930603762594e-56,2.701930603762594e-56,1.001
94,C2015203999,4,F,M1823072687,es_transportation,4.74,0,-1.2797788389934923,7,10103,1.9888312533099884e-56,1.9888312533099884e-56,1.001
80,C2100466386,2,F,M348934600,es_transportation,29.09,0,0.1178284535854156,8,6913,5.009120619217712e-39,5.009120619217712e-39,1.001
78,C10745331,4,F,M1823072687,es_transportation,59.86,0,1.883921939936668,6,10103,1.705805004487282e-55,1.705805004487282e-55,1.001
83,C678683295,2,F,M348934600,es_transportation,53.72,0,1.5315067951138963,10,6913,1.0325232998085312e-38,1.0325232998085312e-38,1.001
43,C2106115023,5,M,M1823072687,es_transportation,1.29,0,-1.477797120693584,4,10103,2.3387992623477257e-56,2.3387992623477257e-56,1.001
35,C891364505,3,F,M348934600,es_transportation,23.82,0,-0.1846516462868983,4,6913,6.06439997747349e-39,6.06439997747349e-39,1.001
162,C142251484,6,M,M1823072687,es_transportation,14.87,0,-0.6983512466393101,6,10103,3.194895369655511e-56,3.194895369655511e-56,1.001
162,C810134226,2,M,M1823072687,es_transportation,32.39,0,0.3072372447768077,7,10103,5.56786729591831e-56,5.56786729591831e-56,1.001
116,C1060470494,2,F,M1823072687,es_transportation,29.84,0,0.1608759061289138,4,10103,6.770746856287838e-56,6.770746856287838e-56,1.001
66,C337165520,2,F,M1823072687,es_transportation,51.55,0,1.406956165754708,4,10103,1.5194267580320513e-55,1.5194267580320513e-55,1.001
64,C901739086,2,M,M1823072687,es_transportation,2.88,0,-1.386536521301368,6,10103,2.0444782069844835e-56,2.0444782069844835e-56,1.001
94,C490238464,3,M,M1823072687,es_transportation,34.93,0,0.4530246173907882,6,10103,6.74248368093058e-56,6.74248368093058e-56,1.001
157,C1847111025,3,M,M1823072687,es_transportation,28.19,0,0.0661715105332178,11,10103,3.2324804150730465e-56,3.2324804150730465e-56,1.001
84,C546957379,5,M,M348934600,es_transportation,13.71,0,-0.7649313065732539,8,6913,2.8253496887133598e-39,2.8253496887133598e-39,1.001
134,C2012722039,1,F,M348934600,es_transportation,14.88,0,-0.6977772806053968,7,6913,3.25125332433193e-39,3.25125332433193e-39,1.001
12,C442137737,5,M,M1823072687,es_transportation,26.7,0,-0.0193494285198653,5,10103,5.467688394648544e-56,5.467688394648544e-56,1.001
29,C1129111658,5,F,M348934600,es_transportation,3.14,0,-1.3716134044196218,8,6913,1.9061582892806186e-39,1.9061582892806186e-39,1.001
97,C1051682954,2,F,M1823072687,es_transportation,20.16,0,-0.3947232146991695,3,10103,5.20204889798153e-56,5.20204889798153e-56,1.001
140,C419754917,2,F,M348934600,es_transportation,21.3,0,-0.3292910868330522,3,6913,6.082756271942182e-39,6.082756271942182e-39,1.001
104,C1392676510,2,M,M348934600,es_transportation,35.66,0,0.4949241378664596,4,6913,9.424027476587365e-39,9.424027476587365e-39,1.001
55,C874725016,2,F,M348934600,es_transportation,13.7,0,-0.7655052726071674,6,6913,3.427920361342034e-39,3.427920361342034e-39,1.001
164,C1199767081,3,F,M348934600,es_transportation,26.71,0,-0.0187754624859519,1,6913,9.030222630286354e-39,9.030222630286354e-39,1.001
131,C189823798,5,M,M151143676,es_barsandrestaurants,71.26,0,0.6174831122412946,7,196,0.009613181106935986,0.009613181106935986,0.991386818893064
99,C1392676510,2,M,M348934600,es_transportation,52.2,0,1.4442639579590737,4,6913,1.744546801163144e-38,1.744546801163144e-38,1.001
97,C120279480,3,F,M348934600,es_transportation,51.33,0,1.3943289130086154,5,6913,1.533045057022117e-38,1.533045057022117e-38,1.001
127,C676229147,2,M,M1823072687,es_transportation,33.18,0,0.352580561455959,11,10103,3.8924449300128357e-56,3.8924449300128357e-56,1.001
7,C1680004438,2,F,M348934600,es_transportation,39.68,0,0.72565848349961,10,6913,6.12178277624698e-39,6.12178277624698e-39,1.001
105,C1125132707,3,F,M348934600,es_transportation,53.01,0,1.4907552067060512,4,6913,1.7979600793991236e-38,1.7979600793991236e-38,1.001
13,C2064491438,5,F,M348934600,es_transportation,42.2,0,0.8702979240457642,5,6913,1.0912543199868843e-38,1.0912543199868843e-38,1.001
166,C1135867657,6,M,M85975013,es_food,4.01,0,-1.2779407644074905,8,915,2.2867404664478356e-07,2.2867404664478356e-07,1.0009997713259533
117,C416655198,2,F,M1823072687,es_transportation,61.55,0,1.9809221996680175,9,10103,1.3585504810801202e-55,1.3585504810801202e-55,1.001
61,C1079254393,1,F,M1823072687,es_transportation,33.22,0,0.3548764255916122,5,10103,6.969953836236732e-56,6.969953836236732e-56,1.001
166,C1577104524,2,M,M1823072687,es_transportation,27.8,0,0.0437868352105987,11,10103,3.1858823735379826e-56,3.1858823735379826e-56,1.001
82,C56859969,6,F,M348934600,es_transportation,29.65,0,0.1499705514845608,10,6913,4.214016998260991e-39,4.214016998260991e-39,1.001
55,C1108787528,5,M,M348934600,es_transportation,37.64,0,0.608569412581295,11,6913,5.1502903592292066e-39,5.1502903592292066e-39,1.001
110,C1275053057,1,F,M348934600,es_transportation,38.04,0,0.6315280539378273,9,6913,6.34482705304336e-39,6.34482705304336e-39,1.001
34,C476477241,4,M,M1823072687,es_transportation,28.23,0,0.068467374668871,6,10103,5.253917156558967e-56,5.253917156558967e-56,1.001
116,C1482560016,5,M,M1823072687,es_transportation,10.19,0,-0.9669673505107388,6,10103,2.6840009058641353e-56,2.6840009058641353e-56,1.001
166,C2104407126,2,F,M85975013,es_food,90.97,0,2.075329706803547,4,915,4.4298034759789926e-06,4.4298034759789926e-06,1.000995570196524
160,C819690995,5,F,M1053599405,es_health,78.93,0,-0.4049785075200686,7,225,0.004982654162440548,0.004982654162440548,0.9960173458375594
139,C1367987964,3,F,M1823072687,es_transportation,24.16,0,-0.1651368011338458,4,10103,5.480156242756685e-56,5.480156242756685e-56,1.001
175,C1450562088,4,F,M1823072687,es_transportation,32.39,0,0.3072372447768077,3,10103,8.20218010742927e-56,8.20218010742927e-56,1.001
173,C1336232196,3,F,M1823072687,es_transportation,0.29,0,-1.5351937240849152,7,10103,1.6851671115622093e-56,1.6851671115622093e-56,1.001
138,C707234445,2,M,M349281107,es_fashion,93.07,0,0.7335913152779604,10,101,0.03220631110285997,0.03220631110285997,0.96879368889714
28,C1507237884,2,F,M1823072687,es_transportation,33.47,0,0.369225576439445,7,10103,5.796316644941666e-56,5.796316644941666e-56,1.001
46,C1591008232,4,F,M1823072687,es_transportation,6.31,0,-1.1896661716691028,7,10103,2.1085518901078054e-56,2.1085518901078054e-56,1.001
18,C295271306,6,F,M1823072687,es_transportation,41.98,0,0.857670671299671,5,10103,9.657752529056291e-56,9.657752529056291e-56,1.001
5,C1769401317,3,M,M348934600,es_transportation,2.94,0,-1.383092725097888,3,6913,3.070616387333579e-39,3.070616387333579e-39,1.001
14,C928479694,5,M,M840466850,es_tech,154.24,0,0.3122755097050949,4,37,0.2068198852476891,0.2068198852476891,0.7941801147523109
113,C1213002113,1,F,M85975013,es_food,83.55,0,1.789206582420084,11,915,1.8050551002437266e-06,1.8050551002437266e-06,1.0009981949448996
116,C1263267362,5,F,M1053599405,es_health,3.79,0,-0.891175004535354,3,225,0.002103263711191696,0.002103263711191696,0.9988967362888083
42,C1272326382,1,M,M348934600,es_transportation,4.31,0,-1.3044593784517649,6,6913,2.4165604885319915e-39,2.4165604885319915e-39,1.001
78,C1459810780,2,F,M1823072687,es_transportation,5.34,0,-1.2453408769586938,5,10103,2.468425029401644e-56,2.468425029401644e-56,1.001
96,C1346358504,1,M,M348934600,es_transportation,34.12,0,0.40653336864381,10,6913,4.977080183961902e-39,4.977080183961902e-39,1.001
170,C1202775726,3,F,M1823072687,es_transportation,11.85,0,-0.8716889888811296,3,10103,3.8177246615778216e-56,3.8177246615778216e-56,1.001
127,C1289081546,4,F,M1823072687,es_transportation,26.52,0,-0.0296808171303048,8,10103,4.0617472861182523e-56,4.0617472861182523e-56,1.001
150,C1482560016,5,M,M1823072687,es_transportation,50.28,0,1.334062479447718,6,10103,1.1940543540535719e-55,1.1940543540535719e-55,1.001
