step,customer,age,gender,merchant,category,amount,fraud,amount_zscore,customer_tx_count,merchant_tx_count
1,C1152092987,3,M,M348934600,es_transportation,25.12,0,-0.1100360618781681,4,6913
38,C1557689947,1,F,M1823072687,es_transportation,27.3,0,0.015088533514933297,10,10103
73,C1304555023,2,F,M840466850,es_tech,43.51,0,-0.6449123717651349,2,37
5,C753013685,2,M,M348934600,es_transportation,1.45,0,-1.4686136641509713,7,6913
84,C1872482068,4,M,M1823072687,es_transportation,27.28,0,0.013940601447106703,8,10103
146,C1076053396,4,M,M1400236507,es_home,48.71,0,-0.6738649176599502,6,28
21,C993553940,2,M,M348934600,es_transportation,56.29,0,1.6790160658296167,11,6913
86,C1275053057,1,F,M1823072687,es_transportation,23.63,0,-0.1955570009312513,9,10103
91,C1631930247,3,M,M1823072687,es_transportation,15.91,0,-0.6386587791123259,4,10103
119,C1865204568,5,M,M1823072687,es_transportation,55.63,0,1.6411343075913385,7,10103
95,C1169655012,2,F,M348934600,es_transportation,73.76,0,2.6817347270761687,9,6913
57,C869954068,3,F,M1823072687,es_transportation,0.9,0,-1.5001817960162032,8,10103
122,C1394931354,4,M,M1823072687,es_transportation,0.67,0,-1.513383014796209,10,10103
60,C741739992,2,F,M1823072687,es_transportation,18.35,0,-0.4986110668374784,8,10103
134,C1497895052,2,M,M85975013,es_food,72.76,0,1.3731326589568014,6,915
117,C1740393527,2,F,M1823072687,es_transportation,33.9,0,0.3939061158977173,5,10103
175,C1338396147,1,F,M1823072687,es_transportation,4.33,0,-1.303311446383938,11,10103
101,C284165615,3,F,M1600850729,es_fashion,2.5,0,-1.2589390370814841,4,101
85,C941334726,3,F,M1823072687,es_transportation,13.56,0,-0.7735407970819537,7,10103
135,C2084566155,2,F,M348934600,es_transportation,37.16,0,0.581019042953456,3,6913
100,C1760492708,1,F,M1823072687,es_transportation,42.4,0,0.8817772447240302,10,10103
139,C917831365,5,F,M348934600,es_transportation,33.94,0,0.3962019800333705,8,6913
108,C1973818754,2,F,M1823072687,es_transportation,70.99,0,2.522746135682181,7,10103
37,C270217031,3,F,M1823072687,es_transportation,39.19,0,0.6975341478378578,7,10103
28,C1567385001,2,F,M17379832,es_sportsandtoys,34.79,1,-0.8376067798622874,6,14
22,C2039473569,2,M,M348934600,es_transportation,35.38,0,0.47885308891688727,12,6913
174,C1207935724,4,M,M1823072687,es_transportation,53.17,0,1.4999386632486644,3,10103
32,C635603510,2,M,M348934600,es_transportation,49.98,0,1.3168434984303186,8,6913
46,C1181615831,3,M,M1823072687,es_transportation,30.42,0,0.19416593609588584,6,10103
92,C1977780197,1,F,M348934600,es_transportation,10.31,0,-0.9600797581037792,6,6913
114,C1354917220,2,M,M1823072687,es_transportation,48.25,0,1.217547374563316,4,10103
88,C2095181585,4,M,M1823072687,es_transportation,17.84,0,-0.5278833345670573,6,10103
84,C1694165271,2,M,M348934600,es_transportation,21.42,0,-0.3224034944260925,4,6913
163,C817774765,1,M,M1823072687,es_transportation,44.42,0,0.9977183835745188,5,10103
65,C574852748,4,F,M348934600,es_transportation,21.29,0,-0.32986505286696566,4,6913
71,C2104407126,2,F,M1823072687,es_transportation,20.62,0,-0.3683207771391573,4,10103
149,C937166633,3,F,M348934600,es_transportation,7.66,0,-1.112180757090806,3,6913
37,C1135495199,2,M,M348934600,es_transportation,31.15,0,0.23606545657155723,6,6913
95,C1724556830,1,M,M1823072687,es_transportation,16.76,0,-0.5898716662296946,8,10103
118,C1508373758,3,M,M1823072687,es_transportation,10.63,0,-0.9417128450185533,5,10103
43,C167330970,2,F,M1823072687,es_transportation,37.48,0,0.5993859560386819,6,10103
97,C1530773220,5,F,M78078399,es_wellnessandbeauty,18.49,0,-0.7895675298318564,1,55
170,C27152267,5,F,M1823072687,es_transportation,7.0,0,-1.1500625153290844,5,10103
101,C470079617,5,F,M209847108,es_wellnessandbeauty,23.41,0,-0.7026957886765232,4,127
104,C1669649966,3,F,M1823072687,es_transportation,2.18,0,-1.4267141436752997,5,10103
36,C1800696439,5,M,M348934600,es_transportation,38.15,0,0.6378416803108737,6,6913
144,C1100510913,2,M,M1823072687,es_transportation,8.55,0,-1.0610977800725216,9,10103
179,C1828345671,4,M,M1823072687,es_transportation,8.57,0,-1.059949848004695,8,10103
127,C2084449024,4,F,M1600850729,es_fashion,85.22,0,0.5608921514707215,9,101
101,C44197733,2,M,M1823072687,es_transportation,10.96,0,-0.922771965899414,7,10103
76,C474891377,4,M,M1823072687,es_transportation,74.04,0,2.6978057760257412,8,10103
154,C1866572071,3,F,M1823072687,es_transportation,23.58,0,-0.19842683110081788,8,10103
147,C752612398,1,F,M85975013,es_food,30.81,0,-0.24450414264511933,6,915
97,C1303226190,1,F,M1823072687,es_transportation,34.39,0,0.42203045155946955,8,10103
68,C778323844,2,F,M348934600,es_transportation,8.81,0,-1.0461746631907756,7,6913
134,C212188289,4,M,M1823072687,es_transportation,22.87,0,-0.23917841950866267,9,10103
117,C852586467,4,M,M1823072687,es_transportation,22.3,0,-0.27189448344172135,3,10103
67,C1896250849,1,M,M1823072687,es_transportation,5.19,0,-1.2539503674673935,4,10103
30,C608244416,1,F,M348934600,es_transportation,15.81,0,-0.644398439451459,6,6913
101,C1600642825,3,F,M348934600,es_transportation,26.24,0,-0.045751866079877614,5,6913
179,C56859969,6,F,M1823072687,es_transportation,59.56,0,1.8667029589192692,10,10103
85,C1289834917,2,F,M1535107174,es_wellnessandbeauty,18.63,0,-0.7870955697176802,3,59
77,C871962456,2,F,M1823072687,es_transportation,36.28,0,0.530510031969085,7,10103
7,C1874220848,2,M,M1823072687,es_transportation,51.27,0,1.3908851168051357,6,10103
8,C483485800,4,F,M348934600,es_transportation,29.36,0,0.13332553650107493,9,6913
39,C177123752,4,M,M1823072687,es_transportation,38.91,0,0.681463098888285,7,10103
61,C480669012,5,F,M348934600,es_transportation,35.05,0,0.4599122097977478,7,6913
179,C809005315,2,F,M1823072687,es_transportation,39.96,0,0.7417295324491828,5,10103
15,C903741897,2,F,M1823072687,es_transportation,45.84,0,1.079221560390209,4,10103
130,C46234453,3,F,M1823072687,es_transportation,19.23,0,-0.4481020558531073,9,10103
56,C474891377,4,M,M1823072687,es_transportation,18.49,0,-0.4905755423626923,8,10103
162,C1060120913,1,M,M1823072687,es_transportation,13.95,0,-0.7511561217593347,8,10103
157,C1839662768,3,F,M1823072687,es_transportation,16.66,0,-0.5956113265688278,5,10103
81,C1611113200,6,M,M1823072687,es_transportation,36.27,0,0.5299360659351718,10,10103
2,C909525375,2,M,M348934600,es_transportation,28.6,0,0.08970411792366353,9,6913
151,C255292461,5,F,M1823072687,es_transportation,24.62,0,-0.13873436357383356,6,10103
64,C1321650743,3,M,M348934600,es_transportation,27.13,0,0.0053311109384069424,9,6913
99,C1320820565,2,F,M348934600,es_transportation,26.97,0,-0.003852345604206014,6,6913
143,C1416816772,2,F,M348934600,es_transportation,29.4,0,0.13562140063672812,5,6913
21,C382331420,4,F,M348934600,es_transportation,6.71,0,-1.1667075303125705,3,6913
112,C909525375,2,M,M1823072687,es_transportation,51.24,0,1.3891632187033958,9,10103
91,C951689990,3,F,M1823072687,es_transportation,58.56,0,1.809306355527938,7,10103
87,C1903005844,2,F,M1823072687,es_transportation,17.44,0,-0.5508419759235896,9,10103
20,C1781238594,4,F,M348934600,es_transportation,7.1,0,-1.1443228549899516,8,6913
67,C1695454092,2,M,M1946091778,es_wellnessandbeauty,168.34,0,1.8563126352345432,8,175
64,C1177396126,2,M,M1823072687,es_transportation,26.34,0,-0.04001220574074444,7,10103
83,C1275053057,1,F,M1823072687,es_transportation,28.48,0,0.08281652551670378,9,10103
34,C1214780453,6,F,M1823072687,es_transportation,40.63,0,0.7801852567213746,7,10103
119,C957324981,4,M,M1823072687,es_transportation,11.8,0,-0.874558819050696,6,10103
72,C1551465414,1,M,M348934600,es_transportation,33.32,0,0.36061608593074546,4,6913
163,C1690998552,2,F,M348934600,es_transportation,52.49,0,1.4609089729425593,3,6913
112,C1674379117,3,F,M1823072687,es_transportation,48.21,0,1.2152515104276629,9,10103
105,C1128349548,2,F,M1823072687,es_transportation,16.7,0,-0.5933154624331746,8,10103
54,C1421601814,2,F,M348934600,es_transportation,3.3,0,-1.362429947877009,12,6913
177,C1702053445,4,F,M1823072687,es_transportation,25.4,0,-0.09396501292859558,5,10103
150,C1470676414,2,F,M348934600,es_transportation,46.71,0,1.1291566053406665,6,6913
170,C1102156492,4,M,M1823072687,es_transportation,48.16,0,1.2123816802580962,9,10103
111,C1070471979,3,M,M1823072687,es_transportation,7.12,0,-1.1431749229221246,7,10103
119,C1698085181,2,M,M1823072687,es_transportation,19.01,0,-0.4607293085992,6,10103
159,C524663308,2,F,M85975013,es_food,34.24,0,-0.11223967948672618,8,915
101,C191366309,2,F,M348934600,es_transportation,55.89,0,1.6560574244730843,4,6913
151,C2117552812,1,F,M1823072687,es_transportation,44.37,0,0.994848553404952,9,10103
169,C222098023,3,M,M1823072687,es_transportation,24.04,0,-0.17202439354080562,7,10103
43,C17589297,4,F,M1823072687,es_transportation,17.96,0,-0.5209957421600976,7,10103
118,C1694039833,6,F,M1823072687,es_transportation,2.41,0,-1.4135129248952933,4,10103
3,C131682780,2,F,M348934600,es_transportation,24.79,0,-0.12897694099730742,9,6913
135,C33469777,1,M,M1823072687,es_transportation,60.9,0,1.943614407463652,5,10103
18,C2075699398,3,F,M1823072687,es_transportation,20.77,0,-0.3597112866304577,7,10103
77,C1156672988,5,M,M85975013,es_food,30.58,0,-0.25337318827964717,8,915
159,C1719535099,3,F,M1823072687,es_transportation,12.97,0,-0.8074047930828389,7,10103
94,C2015203999,4,F,M1823072687,es_transportation,4.74,0,-1.2797788389934925,7,10103
80,C2100466386,2,F,M348934600,es_transportation,29.09,0,0.1178284535854156,8,6913
78,C10745331,4,F,M1823072687,es_transportation,59.86,0,1.8839219399366682,6,10103
83,C678683295,2,F,M348934600,es_transportation,53.72,0,1.5315067951138963,10,6913
43,C2106115023,5,M,M1823072687,es_transportation,1.29,0,-1.477797120693584,4,10103
35,C891364505,3,F,M348934600,es_transportation,23.82,0,-0.18465164628689834,4,6913
162,C142251484,6,M,M1823072687,es_transportation,14.87,0,-0.6983512466393101,6,10103
162,C810134226,2,M,M1823072687,es_transportation,32.39,0,0.3072372447768077,7,10103
116,C1060470494,2,F,M1823072687,es_transportation,29.84,0,0.1608759061289138,4,10103
66,C337165520,2,F,M1823072687,es_transportation,51.55,0,1.406956165754708,4,10103
64,C901739086,2,M,M1823072687,es_transportation,2.88,0,-1.386536521301368,6,10103
94,C490238464,3,M,M1823072687,es_transportation,34.93,0,0.4530246173907882,6,10103
157,C1847111025,3,M,M1823072687,es_transportation,28.19,0,0.06617151053321785,11,10103
84,C546957379,5,M,M348934600,es_transportation,13.71,0,-0.7649313065732539,8,6913
134,C2012722039,1,F,M348934600,es_transportation,14.88,0,-0.6977772806053968,7,6913
12,C442137737,5,M,M1823072687,es_transportation,26.7,0,-0.01934942851986534,5,10103
29,C1129111658,5,F,M348934600,es_transportation,3.14,0,-1.3716134044196218,8,6913
97,C1051682954,2,F,M1823072687,es_transportation,20.16,0,-0.39472321469916954,3,10103
140,C419754917,2,F,M348934600,es_transportation,21.3,0,-0.32929108683305225,3,6913
104,C1392676510,2,M,M348934600,es_transportation,35.66,0,0.4949241378664596,4,6913
55,C874725016,2,F,M348934600,es_transportation,13.7,0,-0.7655052726071674,6,6913
164,C1199767081,3,F,M348934600,es_transportation,26.71,0,-0.01877546248595194,1,6913
131,C189823798,5,M,M151143676,es_barsandrestaurants,71.26,0,0.6174831122412946,7,196
99,C1392676510,2,M,M348934600,es_transportation,52.2,0,1.4442639579590735,4,6913
97,C120279480,3,F,M348934600,es_transportation,51.33,0,1.3943289130086154,5,6913
127,C676229147,2,M,M1823072687,es_transportation,33.18,0,0.35258056145595906,11,10103
7,C1680004438,2,F,M348934600,es_transportation,39.68,0,0.72565848349961,10,6913
105,C1125132707,3,F,M348934600,es_transportation,53.01,0,1.4907552067060512,4,6913
13,C2064491438,5,F,M348934600,es_transportation,42.2,0,0.8702979240457642,5,6913
166,C1135867657,6,M,M85975013,es_food,4.01,0,-1.2779407644074905,8,915
117,C416655198,2,F,M1823072687,es_transportation,61.55,0,1.9809221996680175,9,10103
61,C1079254393,1,F,M1823072687,es_transportation,33.22,0,0.35487642559161225,5,10103
166,C1577104524,2,M,M1823072687,es_transportation,27.8,0,0.04378683521059876,11,10103
82,C56859969,6,F,M348934600,es_transportation,29.65,0,0.14997055148456084,10,6913
55,C1108787528,5,M,M348934600,es_transportation,37.64,0,0.608569412581295,11,6913
110,C1275053057,1,F,M348934600,es_transportation,38.04,0,0.6315280539378273,9,6913
34,C476477241,4,M,M1823072687,es_transportation,28.23,0,0.06846737466887104,6,10103
116,C1482560016,5,M,M1823072687,es_transportation,10.19,0,-0.9669673505107388,6,10103
166,C2104407126,2,F,M85975013,es_food,90.97,0,2.075329706803547,4,915
160,C819690995,5,F,M1053599405,es_health,78.93,0,-0.4049785075200686,7,225
139,C1367987964,3,F,M1823072687,es_transportation,24.16,0,-0.16513680113384585,4,10103
175,C1450562088,4,F,M1823072687,es_transportation,32.39,0,0.3072372447768077,3,10103
173,C1336232196,3,F,M1823072687,es_transportation,0.29,0,-1.5351937240849152,7,10103
138,C707234445,2,M,M349281107,es_fashion,93.07,0,0.7335913152779604,10,101
28,C1507237884,2,F,M1823072687,es_transportation,33.47,0,0.369225576439445,7,10103
46,C1591008232,4,F,M1823072687,es_transportation,6.31,0,-1.1896661716691028,7,10103
18,C295271306,6,F,M1823072687,es_transportation,41.98,0,0.857670671299671,5,10103
5,C1769401317,3,M,M348934600,es_transportation,2.94,0,-1.383092725097888,3,6913
14,C928479694,5,M,M840466850,es_tech,154.24,0,0.31227550970509493,4,37
113,C1213002113,1,F,M85975013,es_food,83.55,0,1.789206582420084,11,915
116,C1263267362,5,F,M1053599405,es_health,3.79,0,-0.891175004535354,3,225
42,C1272326382,1,M,M348934600,es_transportation,4.31,0,-1.3044593784517649,6,6913
78,C1459810780,2,F,M1823072687,es_transportation,5.34,0,-1.2453408769586938,5,10103
96,C1346358504,1,M,M348934600,es_transportation,34.12,0,0.40653336864381,10,6913
170,C1202775726,3,F,M1823072687,es_transportation,11.85,0,-0.8716889888811296,3,10103
127,C1289081546,4,F,M1823072687,es_transportation,26.52,0,-0.02968081713030489,8,10103
150,C1482560016,5,M,M1823072687,es_transportation,50.28,0,1.334062479447718,6,10103
94,C956700475,4,F,M1823072687,es_transportation,16.29,0,-0.6168480698236203,8,10103
71,C334073161,3,F,M1823072687,es_transportation,26.1,0,-0.05378739055466377,7,10103
81,C1017469037,2,M,M348934600,es_transportation,56.73,0,1.7042705713218023,4,6913
33,C673469784,3,F,M855959430,es_hyper,51.43,0,0.2637644719679817,11,220
143,C1715139,4,M,M348934600,es_transportation,41.95,0,0.8559487731979315,5,6913
16,C2049000934,5,M,M348934600,es_transportation,13.38,0,-0.7838721856923931,8,6913
96,C869565327,5,F,M1823072687,es_transportation,29.69,0,0.15226641562021423,6,10103
15,C139784508,2,M,M1823072687,es_transportation,37.41,0,0.5953681938012887,8,10103
155,C802590979,6,F,M1823072687,es_transportation,24.83,0,-0.12668107686165422,6,10103
81,C332229910,4,F,M348934600,es_transportation,8.38,0,-1.0708552026490479,6,6913
170,C827350474,4,F,M1823072687,es_transportation,57.97,0,1.7754423595270528,2,10103
167,C864602023,5,M,M1823072687,es_transportation,25.35,0,-0.09683484309816197,8,10103
76,C999393223,1,F,M348934600,es_transportation,5.78,0,-1.2200863714665082,7,6913
70,C1018153896,3,F,M348934600,es_transportation,20.1,0,-0.39816701090264933,6,6913
100,C1259760240,2,F,M1913465890,es_health,99.57,0,-0.2714265285688378,8,125
97,C1433132752,3,M,M1823072687,es_transportation,37.48,0,0.5993859560386819,8,10103
143,C862633345,4,F,M1823072687,es_transportation,0.84,0,-1.503625592219683,6,10103
45,C419754917,2,F,M1823072687,es_transportation,4.39,0,-1.2998676501804582,3,10103
165,C821630606,1,F,M1823072687,es_transportation,32.8,0,0.3307698521672532,6,10103
66,C1577104524,2,M,M348934600,es_transportation,38.43,0,0.6539127292604464,11,6913
162,C143836998,5,F,M1823072687,es_transportation,17.2,0,-0.5646171607375091,8,10103
142,C350034124,1,F,M2080407379,es_travel,7134.39,1,2.560761911031635,1,3
128,C27106217,2,M,M480139044,es_health,975.26,1,5.394762059018535,4,100
7,C1876642037,4,M,M209847108,es_wellnessandbeauty,80.3,0,0.30180286057691336,5,127
46,C1561544871,1,M,M348934600,es_transportation,51.82,0,1.4224532486703676,5,6913
167,C469059843,5,F,M1823072687,es_transportation,14.96,0,-0.6931855523340903,7,10103
173,C1192557067,1,F,M1823072687,es_transportation,59.64,0,1.8712946871905756,8,10103
25,C1433092877,3,F,M348934600,es_transportation,18.83,0,-0.4710606972096398,7,6913
132,C256152889,3,M,M348934600,es_transportation,28.02,0,0.0564140879566915,5,6913
61,C1006176917,2,M,M348934600,es_transportation,31.16,0,0.23663942260547063,5,6913
116,C345742557,5,F,M1823072687,es_transportation,44.32,0,0.9919787232353856,7,10103
168,C2126019044,4,M,M1823072687,es_transportation,20.55,0,-0.3723385393765504,7,10103
79,C1690923384,6,F,M1823072687,es_transportation,28.15,0,0.06387564639756446,6,10103
44,C957324981,4,M,M1600850729,es_fashion,80.97,0,0.4673926041865475,6,101
74,C168710517,4,F,M85975013,es_food,93.72,0,2.181372643738118,5,915
140,C1628447668,3,M,M1823072687,es_transportation,4.11,0,-1.315938699130031,7,10103
63,C1663641926,6,F,M1823072687,es_transportation,5.29,0,-1.2482107071282604,5,10103
68,C546328029,3,M,M1823072687,es_transportation,36.86,0,0.5638000619360569,7,10103
148,C1153569753,4,F,M1823072687,es_transportation,20.71,0,-0.3631550828339375,9,10103
76,C1370556911,1,M,M348934600,es_transportation,53.33,0,1.5091221197912772,3,6913
159,C1327677398,2,M,M1649169323,es_sportsandtoys,82.52,0,-0.6310568842102438,8,32
47,C1815981756,4,F,M1823072687,es_transportation,5.1,0,-1.2591160617726134,4,10103
159,C806943770,4,F,M348934600,es_transportation,15.84,0,-0.6426765413497192,3,6913
151,C2117326082,4,M,M348934600,es_transportation,22.7,0,-0.24893584208518904,5,6913
158,C1374011975,2,M,M1823072687,es_transportation,14.58,0,-0.7149962616227961,6,10103
102,C1039035065,5,F,M1823072687,es_transportation,10.03,0,-0.976150807053352,11,10103
61,C168361707,4,F,M348934600,es_transportation,31.53,0,0.25787616586026313,10,6913
50,C564489242,1,M,M1823072687,es_transportation,9.56,0,-1.0031272106472775,8,10103
124,C2008428493,2,F,M348934600,es_transportation,35.19,0,0.4679477342725341,3,6913
175,C1567160901,2,F,M1823072687,es_transportation,42.23,0,0.8720198221475037,5,10103
113,C1248026439,4,M,M1823072687,es_transportation,3.03,0,-1.3779270307926683,6,10103
144,C1258725927,4,M,M1823072687,es_transportation,17.27,0,-0.560599398500116,7,10103
23,C1802570035,4,F,M855959430,es_hyper,18.93,0,-0.5927692616004938,5,220
64,C1575367607,3,F,M348934600,es_transportation,18.69,0,-0.47909622168442595,4,6913
169,C809005315,2,F,M1823072687,es_transportation,25.25,0,-0.10257450343729514,5,10103
158,C252625411,4,F,M348934600,es_transportation,3.51,0,-1.3503766611648294,3,6913
82,C1679796651,4,M,M1823072687,es_transportation,59.02,0,1.8357087930879503,8,10103
12,C1497367004,4,F,M348934600,es_transportation,72.59,0,2.614580701108311,6,6913
135,C595076943,1,F,M1823072687,es_transportation,18.83,0,-0.4710606972096398,5,10103
91,C1294166760,3,M,M1823072687,es_transportation,37.46,0,0.5982380239708555,4,10103
147,C69477057,3,M,M1823072687,es_transportation,21.19,0,-0.33560471320609864,7,10103
114,C413843100,3,F,M1823072687,es_transportation,39.22,0,0.6992560459395978,6,10103
10,C1966686053,4,F,M348934600,es_transportation,13.88,0,-0.7551738839967277,10,6913
15,C2023751717,2,M,M348934600,es_transportation,36.01,0,0.5150129490534255,8,6913
161,C1734487337,4,F,M1823072687,es_transportation,40.47,0,0.7710018001787615,9,10103
30,C518028573,2,M,M1823072687,es_transportation,1.47,0,-1.4674657320831446,7,10103
21,C1638268213,3,M,M348934600,es_transportation,52.95,0,1.4873114105025715,8,6913
105,C2084267589,3,F,M1823072687,es_transportation,16.19,0,-0.6225877301627533,6,10103
16,C1104044396,1,M,M348934600,es_transportation,35.14,0,0.46507790410296773,6,6913
9,C408690006,1,M,M1823072687,es_transportation,64.88,0,2.1720528889611495,6,10103
142,C1163635747,4,M,M980657600,es_sportsandtoys,336.15,1,0.46651801698874745,5,57
160,C1226558289,4,M,M1823072687,es_transportation,6.27,0,-1.191962035804756,5,10103
115,C1750373007,3,F,M1823072687,es_transportation,1.35,0,-1.4743533244901041,3,10103
51,C297347471,4,M,M1823072687,es_transportation,61.82,0,1.9964192825836766,11,10103
139,C2110568911,2,F,M1823072687,es_transportation,48.47,0,1.230174627309409,4,10103
90,C2070292195,2,F,M1823072687,es_transportation,6.88,0,-1.1569501077360442,9,10103
48,C1129111658,5,F,M1823072687,es_transportation,20.12,0,-0.39701907883482274,8,10103
78,C1273564839,5,F,M1823072687,es_transportation,20.39,0,-0.3815219959191634,8,10103
67,C722399783,4,M,M1823072687,es_transportation,2.25,0,-1.4226963814379063,8,10103
129,C102010508,2,F,M1946091778,es_wellnessandbeauty,60.38,0,-0.049921749954435705,5,175
40,C459595150,3,M,M348934600,es_transportation,42.41,0,0.8823512107579433,9,6913
35,C1975322645,3,F,M348934600,es_transportation,2.29,0,-1.4204005173022531,5,6913
85,C1140809068,3,F,M348934600,es_transportation,67.27,0,2.30923077106643,7,6913
85,C1738944491,2,M,M348934600,es_transportation,50.39,0,1.3403761058207644,10,6913
156,C1449000407,2,M,M1823072687,es_transportation,74.41,0,2.719042519280533,3,10103
5,C2117552812,1,F,M1913465890,es_health,170.43,0,0.1870760503305916,9,125
14,C1084672760,2,F,M85975013,es_food,74.32,0,1.4332879249996853,8,915
106,C1545484501,2,M,M1823072687,es_transportation,73.21,0,2.6501665952109357,9,10103
82,C2145337724,3,F,M348934600,es_transportation,61.76,0,1.9929754863801965,5,6913
13,C484268062,3,F,M1823072687,es_transportation,16.99,0,-0.5766704474496887,5,10103
171,C1630697663,4,F,M348934600,es_transportation,45.39,0,1.0533930888641097,7,6913
133,C486343841,3,M,M1823072687,es_transportation,21.4,0,-0.32355142649391927,6,10103
13,C842993265,2,F,M348934600,es_transportation,19.92,0,-0.40849839951308886,8,6913
8,C1809945143,3,F,M348934600,es_transportation,18.75,0,-0.47565242548094616,8,6913
106,C1809615650,4,M,M85975013,es_food,8.13,0,-1.1190691643455137,8,915
43,C1739071229,4,F,M348934600,es_transportation,60.13,0,1.8994190228523276,4,6913
9,C1429394820,3,M,M348934600,es_transportation,46.56,0,1.120547114831967,6,6913
87,C1538635916,2,F,M1823072687,es_transportation,3.47,0,-1.3526725253004828,5,10103
8,C1160118068,2,M,M348934600,es_transportation,29.65,0,0.14997055148456084,6,6913
122,C1303695653,2,M,M1600850729,es_fashion,87.05,0,0.6011519565366128,4,101
167,C1646298550,2,F,M348934600,es_transportation,39.63,0,0.7227886533300437,4,6913
104,C106333716,3,F,M85975013,es_food,53.6,0,0.6343025965326583,8,915
103,C485578112,3,F,M348934600,es_transportation,15.33,0,-0.6719488090792979,9,6913
21,C939735585,3,F,M1823072687,es_transportation,35.48,0,0.48459274925602003,10,10103
163,C1718974481,4,M,M85975013,es_food,36.3,0,-0.03280387945573814,9,915
10,C85945497,4,F,M348934600,es_transportation,43.25,0,0.9305643576066615,6,6913
14,C1255221015,3,F,M348934600,es_transportation,20.7,0,-0.3637290488678509,4,6913
166,C1375103798,3,F,M1823072687,es_transportation,6.56,0,-1.1753170208212702,5,10103
175,C769941724,5,F,M348934600,es_transportation,8.79,0,-1.0473225952586023,3,6913
140,C1456029725,3,M,M348934600,es_transportation,12.94,0,-0.8091266911845788,11,6913
85,C570913468,1,F,M85975013,es_food,22.71,0,-0.5568487932524031,9,915
78,C5748649,4,F,M348934600,es_transportation,56.71,0,1.7031226392539758,4,6913
65,C2143703121,5,F,M1823072687,es_transportation,30.13,0,0.17752092111239973,8,10103
161,C825969892,2,M,M1823072687,es_transportation,8.67,0,-1.054210187665562,5,10103
13,C1160118068,2,M,M348934600,es_transportation,34.54,0,0.4306399420681691,6,6913
57,C1573211398,3,F,M1823072687,es_transportation,71.48,0,2.550870471343934,3,10103
127,C1255236689,1,F,M1823072687,es_transportation,29.21,0,0.12471604599237537,8,10103
174,C1114643543,6,M,M1823072687,es_transportation,37.99,0,0.628658223768261,4,10103
132,C908718101,3,F,M1823072687,es_transportation,30.98,0,0.22630803399503108,6,10103
176,C1232725180,3,F,M348934600,es_transportation,43.43,0,0.940895746217101,3,6913
101,C171498975,1,M,M1823072687,es_transportation,8.04,0,-1.0903700478021003,10,10103
149,C1239154010,4,F,M1913465890,es_health,48.58,0,-0.6013594455612439,7,125
151,C767740583,2,F,M1823072687,es_transportation,16.56,0,-0.601350986907961,4,10103
