step,customer,age,gender,merchant,category,amount,fraud
56,C474891377,4,M,M1823072687,es_transportation,18.49,0
162,C1060120913,1,M,M1823072687,es_transportation,13.95,0
157,C1839662768,3,F,M1823072687,es_transportation,16.66,0
81,C1611113200,6,M,M1823072687,es_transportation,36.27,0
2,C909525375,2,M,M348934600,es_transportation,28.6,0
151,C255292461,5,F,M1823072687,es_transportation,24.62,0
64,C1321650743,3,M,M348934600,es_transportation,27.13,0
99,C1320820565,2,F,M348934600,es_transportation,26.97,0
143,C1416816772,2,F,M348934600,es_transportation,29.4,0
21,C382331420,4,F,M348934600,es_transportation,6.71,0
112,C909525375,2,M,M1823072687,es_transportation,51.24,0
91,C951689990,3,F,M1823072687,es_transportation,58.56,0
87,C1903005844,2,F,M1823072687,es_transportation,17.44,0
20,C1781238594,4,F,M348934600,es_transportation,7.1,0
67,C1695454092,2,M,M1946091778,es_wellnessandbeauty,168.34,0
64,C1177396126,2,M,M1823072687,es_transportation,26.34,0
83,C1275053057,1,F,M1823072687,es_transportation,28.48,0
34,C1214780453,6,F,M1823072687,es_transportation,40.63,0
119,C957324981,4,M,M1823072687,es_transportation,11.8,0
72,C1551465414,1,M,M348934600,es_transportation,33.32,0
163,C1690998552,2,F,M348934600,es_transportation,52.49,0
112,C1674379117,3,F,M1823072687,es_transportation,48.21,0
105,C1128349548,2,F,M1823072687,es_transportation,16.7,0
54,C1421601814,2,F,M348934600,es_transportation,3.3,0
177,C1702053445,4,F,M1823072687,es_transportation,25.4,0
150,C1470676414,2,F,M348934600,es_transportation,46.71,0
170,C1102156492,4,M,M1823072687,es_transportation,48.16,0
111,C1070471979,3,M,M1823072687,es_transportation,7.12,0
119,C1698085181,2,M,M1823072687,es_transportation,19.01,0
159,C524663308,2,F,M85975013,es_food,34.24,0
101,C191366309,2,F,M348934600,es_transportation,55.89,0
151,C2117552812,1,F,M1823072687,es_transportation,44.37,0
169,C222098023,3,M,M1823072687,es_transportation,24.04,0
43,C17589297,4,F,M1823072687,es_transportation,17.96,0
118,C1694039833,6,F,M1823072687,es_transportation,2.41,0
3,C131682780,2,F,M348934600,es_transportation,24.79,0
135,C33469777,1,M,M1823072687,es_transportation,60.9,0
18,C2075699398,3,F,M1823072687,es_transportation,20.77,0
77,C1156672988,5,M,M85975013,es_food,30.58,0
159,C1719535099,3,F,M1823072687,es_transportation,12.97,0
94,C2015203999,4,F,M1823072687,es_transportation,4.74,0
80,C2100466386,2,F,M348934600,es_transportation,29.09,0
78,C10745331,4,F,M1823072687,es_transportation,59.86,0
83,C678683295,2,F,M348934600,es_transportation,53.72,0
43,C2106115023,5,M,M1823072687,es_transportation,1.29,0
35,C891364505,3,F,M348934600,es_transportation,23.82,0
162,C142251484,6,M,M1823072687,es_transportation,14.87,0
162,C810134226,2,M,M1823072687,es_transportation,32.39,0
116,C1060470494,2,F,M1823072687,es_transportation,29.84,0
66,C337165520,2,F,M1823072687,es_transportation,51.55,0
64,C901739086,2,M,M1823072687,es_transportation,2.88,0
94,C490238464,3,M,M1823072687,es_transportation,34.93,0
157,C1847111025,3,M,M1823072687,es_transportation,28.19,0
84,C546957379,5,M,M348934600,es_transportation,13.71,0
134,C2012722039,1,F,M348934600,es_transportation,14.88,0
12,C442137737,5,M,M1823072687,es_transportation,26.7,0
29,C1129111658,5,F,M348934600,es_transportation,3.14,0
97,C1051682954,2,F,M1823072687,es_transportation,20.16,0
140,C419754917,2,F,M348934600,es_transportation,21.3,0
104,C1392676510,2,M,M348934600,es_transportation,35.66,0
55,C874725016,2,F,M348934600,es_transportation,13.7,0
164,C1199767081,3,F,M348934600,es_transportation,26.71,0
131,C189823798,5,M,M151143676,es_barsandrestaurants,71.26,0
99,C1392676510,2,M,M348934600,es_transportation,52.2,0
97,C120279480,3,F,M348934600,es_transportation,51.33,0
127,C676229147,2,M,M1823072687,es_transportation,33.18,0
7,C1680004438,2,F,M348934600,es_transportation,39.68,0
105,C1125132707,3,F,M348934600,es_transportation,53.01,0
13,C2064491438,5,F,M348934600,es_transportation,42.2,0
166,C1135867657,6,M,M85975013,es_food,4.01,0
117,C416655198,2,F,M1823072687,es_transportation,61.55,0
61,C1079254393,1,F,M1823072687,es_transportation,33.22,0
166,C1577104524,2,M,M1823072687,es_transportation,27.8,0
82,C56859969,6,F,M348934600,es_transportation,29.65,0
55,C1108787528,5,M,M348934600,es_transportation,37.64,0
110,C1275053057,1,F,M348934600,es_transportation,38.04,0
34,C476477241,4,M,M1823072687,es_transportation,28.23,0
116,C1482560016,5,M,M1823072687,es_transportation,10.19,0
166,C2104407126,2,F,M85975013,es_food,90.97,0
160,C819690995,5,F,M1053599405,es_health,78.93,0
139,C1367987964,3,F,M1823072687,es_transportation,24.16,0
175,C1450562088,4,F,M1823072687,es_transportation,32.39,0
173,C1336232196,3,F,M1823072687,es_transportation,0.29,0
138,C707234445,2,M,M349281107,es_fashion,93.07,0
28,C1507237884,2,F,M1823072687,es_transportation,33.47,0
46,C1591008232,4,F,M1823072687,es_transportation,6.31,0
18,C295271306,6,F,M1823072687,es_transportation,41.98,0
5,C1769401317,3,M,M348934600,es_transportation,2.94,0
14,C928479694,5,M,M840466850,es_tech,154.24,0
113,C1213002113,1,F,M85975013,es_food,83.55,0
116,C1263267362,5,F,M1053599405,es_health,3.79,0
42,C1272326382,1,M,M348934600,es_transportation,4.31,0
78,C1459810780,2,F,M1823072687,es_transportation,5.34,0
96,C1346358504,1,M,M348934600,es_transportation,34.12,0
170,C1202775726,3,F,M1823072687,es_transportation,11.85,0
127,C1289081546,4,F,M1823072687,es_transportation,26.52,0
150,C1482560016,5,M,M1823072687,es_transportation,50.28,0
94,C956700475,4,F,M1823072687,es_transportation,16.29,0
71,C334073161,3,F,M1823072687,es_transportation,26.1,0
81,C1017469037,2,M,M348934600,es_transportation,56.73,0
33,C673469784,3,F,M855959430,es_hyper,51.43,0
143,C1715139,4,M,M348934600,es_transportation,41.95,0
16,C2049000934,5,M,M348934600,es_transportation,13.38,0
96,C869565327,5,F,M1823072687,es_transportation,29.69,0
15,C139784508,2,M,M1823072687,es_transportation,37.41,0
155,C802590979,6,F,M1823072687,es_transportation,24.83,0
81,C332229910,4,F,M348934600,es_transportation,8.38,0
170,C827350474,4,F,M1823072687,es_transportation,57.97,0
167,C864602023,5,M,M1823072687,es_transportation,25.35,0
76,C999393223,1,F,M348934600,es_transportation,5.78,0
70,C1018153896,3,F,M348934600,es_transportation,20.1,0
100,C1259760240,2,F,M1913465890,es_health,99.57,0
97,C1433132752,3,M,M1823072687,es_transportation,37.48,0
143,C862633345,4,F,M1823072687,es_transportation,0.84,0
45,C419754917,2,F,M1823072687,es_transportation,4.39,0
165,C821630606,1,F,M1823072687,es_transportation,32.8,0
66,C1577104524,2,M,M348934600,es_transportation,38.43,0
162,C143836998,5,F,M1823072687,es_transportation,17.2,0
142,C350034124,1,F,M2080407379,es_travel,7134.39,1
128,C27106217,2,M,M480139044,es_health,975.26,1
7,C1876642037,4,M,M209847108,es_wellnessandbeauty,80.3,0
46,C1561544871,1,M,M348934600,es_transportation,51.82,0
167,C469059843,5,F,M1823072687,es_transportation,14.96,0
173,C1192557067,1,F,M1823072687,es_transportation,59.64,0
25,C1433092877,3,F,M348934600,es_transportation,18.83,0
132,C256152889,3,M,M348934600,es_transportation,28.02,0
61,C1006176917,2,M,M348934600,es_transportation,31.16,0
116,C345742557,5,F,M1823072687,es_transportation,44.32,0
168,C2126019044,4,M,M1823072687,es_transportation,20.55,0
79,C1690923384,6,F,M1823072687,es_transportation,28.15,0
44,C957324981,4,M,M1600850729,es_fashion,80.97,0
74,C168710517,4,F,M85975013,es_food,93.72,0
140,C1628447668,3,M,M1823072687,es_transportation,4.11,0
63,C1663641926,6,F,M1823072687,es_transportation,5.29,0
68,C546328029,3,M,M1823072687,es_transportation,36.86,0
148,C1153569753,4,F,M1823072687,es_transportation,20.71,0
76,C1370556911,1,M,M348934600,es_transportation,53.33,0
159,C1327677398,2,M,M1649169323,es_sportsandtoys,82.52,0
47,C1815981756,4,F,M1823072687,es_transportation,5.1,0
159,C806943770,4,F,M348934600,es_transportation,15.84,0
151,C2117326082,4,M,M348934600,es_transportation,22.7,0
158,C1374011975,2,M,M1823072687,es_transportation,14.58,0
102,C1039035065,5,F,M1823072687,es_transportation,10.03,0
61,C168361707,4,F,M348934600,es_transportation,31.53,0
50,C564489242,1,M,M1823072687,es_transportation,9.56,0
124,C2008428493,2,F,M348934600,es_transportation,35.19,0
175,C1567160901,2,F,M1823072687,es_transportation,42.23,0
113,C1248026439,4,M,M1823072687,es_transportation,3.03,0
144,C1258725927,4,M,M1823072687,es_transportation,17.27,0
23,C1802570035,4,F,M855959430,es_hyper,18.93,0
64,C1575367607,3,F,M348934600,es_transportation,18.69,0
169,C809005315,2,F,M1823072687,es_transportation,25.25,0
158,C252625411,4,F,M348934600,es_transportation,3.51,0
82,C1679796651,4,M,M1823072687,es_transportation,59.02,0
12,C1497367004,4,F,M348934600,es_transportation,72.59,0
135,C595076943,1,F,M1823072687,es_transportation,18.83,0
91,C1294166760,3,M,M1823072687,es_transportation,37.46,0
147,C69477057,3,M,M1823072687,es_transportation,21.19,0
114,C413843100,3,F,M1823072687,es_transportation,39.22,0
10,C1966686053,4,F,M348934600,es_transportation,13.88,0
15,C2023751717,2,M,M348934600,es_transportation,36.01,0
161,C1734487337,4,F,M1823072687,es_transportation,40.47,0
30,C518028573,2,M,M1823072687,es_transportation,1.47,0
21,C1638268213,3,M,M348934600,es_transportation,52.95,0
105,C2084267589,3,F,M1823072687,es_transportation,16.19,0
16,C1104044396,1,M,M348934600,es_transportation,35.14,0
9,C408690006,1,M,M1823072687,es_transportation,64.88,0
142,C1163635747,4,M,M980657600,es_sportsandtoys,336.15,1
160,C1226558289,4,M,M1823072687,es_transportation,6.27,0
115,C1750373007,3,F,M1823072687,es_transportation,1.35,0
51,C297347471,4,M,M1823072687,es_transportation,61.82,0
139,C2110568911,2,F,M1823072687,es_transportation,48.47,0
90,C2070292195,2,F,M1823072687,es_transportation,6.88,0
48,C1129111658,5,F,M1823072687,es_transportation,20.12,0
78,C1273564839,5,F,M1823072687,es_transportation,20.39,0
67,C722399783,4,M,M1823072687,es_transportation,2.25,0
129,C102010508,2,F,M1946091778,es_wellnessandbeauty,60.38,0
40,C459595150,3,M,M348934600,es_transportation,42.41,0
35,C1975322645,3,F,M348934600,es_transportation,2.29,0
85,C1140809068,3,F,M348934600,es_transportation,67.27,0
85,C1738944491,2,M,M348934600,es_transportation,50.39,0
156,C1449000407,2,M,M1823072687,es_transportation,74.41,0
5,C2117552812,1,F,M1913465890,es_health,170.43,0
14,C1084672760,2,F,M85975013,es_food,74.32,0
106,C1545484501,2,M,M1823072687,es_transportation,73.21,0
82,C2145337724,3,F,M348934600,es_transportation,61.76,0
13,C484268062,3,F,M1823072687,es_transportation,16.99,0
171,C1630697663,4,F,M348934600,es_transportation,45.39,0
133,C486343841,3,M,M1823072687,es_transportation,21.4,0
13,C842993265,2,F,M348934600,es_transportation,19.92,0
8,C1809945143,3,F,M348934600,es_transportation,18.75,0
106,C1809615650,4,M,M85975013,es_food,8.13,0
43,C1739071229,4,F,M348934600,es_transportation,60.13,0
9,C1429394820,3,M,M348934600,es_transportation,46.56,0
87,C1538635916,2,F,M1823072687,es_transportation,3.47,0
8,C1160118068,2,M,M348934600,es_transportation,29.65,0
122,C1303695653,2,M,M1600850729,es_fashion,87.05,0
167,C1646298550,2,F,M348934600,es_transportation,39.63,0
104,C106333716,3,F,M85975013,es_food,53.6,0
103,C485578112,3,F,M348934600,es_transportation,15.33,0
21,C939735585,3,F,M1823072687,es_transportation,35.48,0
163,C1718974481,4,M,M85975013,es_food,36.3,0
10,C85945497,4,F,M348934600,es_transportation,43.25,0
14,C1255221015,3,F,M348934600,es_transportation,20.7,0
166,C1375103798,3,F,M1823072687,es_transportation,6.56,0
175,C769941724,5,F,M348934600,es_transportation,8.79,0
140,C1456029725,3,M,M348934600,es_transportation,12.94,0
85,C570913468,1,F,M85975013,es_food,22.71,0
78,C5748649,4,F,M348934600,es_transportation,56.71,0
65,C2143703121,5,F,M1823072687,es_transportation,30.13,0
161,C825969892,2,M,M1823072687,es_transportation,8.67,0
13,C1160118068,2,M,M348934600,es_transportation,34.54,0
57,C1573211398,3,F,M1823072687,es_transportation,71.48,0
127,C1255236689,1,F,M1823072687,es_transportation,29.21,0
174,C1114643543,6,M,M1823072687,es_transportation,37.99,0
132,C908718101,3,F,M1823072687,es_transportation,30.98,0
176,C1232725180,3,F,M348934600,es_transportation,43.43,0
101,C171498975,1,M,M1823072687,es_transportation,8.04,0
149,C1239154010,4,F,M1913465890,es_health,48.58,0
151,C767740583,2,F,M1823072687,es_transportation,16.56,0
151,C1047374909,6,F,M1823072687,es_transportation,16.27,0
11,C103240070,2,F,M348934600,es_transportation,34.27,0
4,C1853277977,4,M,M348934600,es_transportation,1.89,0
150,C1610565169,4,M,M1823072687,es_transportation,12.83,0
46,C1569014356,2,M,M1823072687,es_transportation,26.07,0
170,C735563623,3,F,M1823072687,es_transportation,11.89,0
82,C1166355595,4,F,M1823072687,es_transportation,38.75,0
112,C1648145906,2,F,M348934600,es_transportation,15.35,0
139,C1090528803,3,F,M1823072687,es_transportation,4.43,0
95,C1179833140,5,M,M1823072687,es_transportation,8.51,0
125,C267593624,1,F,M1823072687,es_transportation,4.58,0
92,C396716441,5,F,M348934600,es_transportation,35.89,0
163,C756645719,2,F,M1823072687,es_transportation,12.37,0
162,C1591908890,2,M,M1823072687,es_transportation,45.32,0
164,C1020355960,2,F,M85975013,es_food,39.79,0
163,C317314063,2,M,M85975013,es_food,39.54,0
82,C173276320,2,F,M348934600,es_transportation,13.02,0
39,C1643168823,1,F,M348934600,es_transportation,11.87,0
68,C1569939854,6,F,M1823072687,es_transportation,62.48,0
179,C476313806,5,F,M348934600,es_transportation,60.25,0
101,C77415586,3,M,M348934600,es_transportation,0.89,0
106,C1415704373,3,F,M85975013,es_food,55.31,0
112,C1971153898,3,M,M1823072687,es_transportation,31.16,0
143,C1129265408,3,F,M1823072687,es_transportation,9.48,0
170,C1199849921,5,M,M1823072687,es_transportation,46.23,0
177,C894687005,5,M,M1823072687,es_transportation,17.63,0
70,C2126946323,2,F,M348934600,es_transportation,14.9,0
126,C1806256044,3,M,M85975013,es_food,138.26,0
42,C466569235,4,M,M1823072687,es_transportation,22.15,0
66,C787259637,1,F,M348934600,es_transportation,56.09,0
138,C337291476,5,M,M1823072687,es_transportation,50.63,0
17,C309334921,2,F,M1823072687,es_transportation,18.1,0
16,C1133451243,5,M,M348934600,es_transportation,31.9,0
168,C143836998,5,F,M1823072687,es_transportation,10.77,0
172,C742393642,6,M,M1823072687,es_transportation,11.93,0
73,C288613043,2,F,M1053599405,es_health,83.59,0
134,C718801730,2,M,M348934600,es_transportation,9.05,0
45,C256310721,2,F,M348934600,es_transportation,25.95,0
166,C1486069778,4,F,M1823072687,es_transportation,39.44,0
57,C1282114843,2,F,M349281107,es_fashion,90.53,0
175,C1214780453,6,F,M1823072687,es_transportation,13.8,0
139,C1379814778,2,F,M85975013,es_food,13.25,0
43,C582688427,5,M,M348934600,es_transportation,20.32,0
144,C228023479,4,F,M1823072687,es_transportation,28.98,0
111,C1799589925,5,M,M348934600,es_transportation,9.45,0
104,C1267365709,3,F,M1823072687,es_transportation,0.63,0
165,C1988407051,5,M,M1823072687,es_transportation,41.63,0
136,C423454023,3,M,M1823072687,es_transportation,10.3,0
17,C746599731,2,F,M348934600,es_transportation,11.45,0
24,C27152267,5,F,M348934600,es_transportation,12.87,0
137,C196806031,3,F,M1823072687,es_transportation,23.84,0
63,C1719044180,2,M,M1823072687,es_transportation,20.94,0
65,C96868586,3,M,M1823072687,es_transportation,4.28,0
167,C1747786179,4,F,M480139044,es_health,183.53,1
22,C1973547259,3,M,M1823072687,es_transportation,34.25,0
53,C1100570635,4,F,M348934600,es_transportation,31.25,0
177,C1100053869,2,M,M349281107,es_fashion,71.51,0
81,C1952109278,1,M,M1823072687,es_transportation,17.88,0
20,C1415168453,3,F,M1823072687,es_transportation,13.05,0
105,C154987119,3,M,M348934600,es_transportation,0.18,0
107,C259158925,5,F,M1823072687,es_transportation,23.74,0
171,C386332652,2,M,M1823072687,es_transportation,41.73,0
75,C1778762788,2,F,M85975013,es_food,28.52,0
160,C1289219178,4,M,M1823072687,es_transportation,54.63,0
126,C447509116,3,M,M348934600,es_transportation,33.75,0
84,C1839662768,3,F,M348934600,es_transportation,0.71,0
69,C798889135,3,M,M348934600,es_transportation,46.21,0
41,C1101213728,2,M,M1823072687,es_transportation,13.59,0
28,C99729647,3,M,M1842530320,es_tech,38.84,0
80,C47376492,3,M,M348934600,es_transportation,8.31,0
94,C1055164842,4,M,M1823072687,es_transportation,13.86,0
144,C1732307957,5,F,M1400236507,es_home,132.79,0
126,C1943367280,3,F,M1823072687,es_transportation,27.49,0
27,C1370192017,6,F,M1823072687,es_transportation,17.7,0
114,C436675602,2,M,M1823072687,es_transportation,29.6,0
175,C1963238862,2,F,M348934600,es_transportation,3.06,0
176,C1249070059,2,M,M1823072687,es_transportation,16.72,0
141,C332229910,4,F,M1823072687,es_transportation,20.01,0
19,C1161671147,2,F,M348934600,es_transportation,38.37,0
50,C1364381627,3,M,M348934600,es_transportation,19.83,0
93,C1890075917,2,M,M1600850729,es_fashion,148.72,0
84,C439601438,5,F,M348934600,es_transportation,46.07,0
25,C1581709798,2,M,M348934600,es_transportation,32.9,0
155,C667215072,3,F,M1823072687,es_transportation,60.64,0
74,C999393223,1,F,M209847108,es_wellnessandbeauty,18.65,0
40,C1056476734,2,M,M348934600,es_transportation,12.43,0
14,C1813956515,1,M,M1823072687,es_transportation,0.74,0
128,C1799527037,2,M,M348934600,es_transportation,35.15,0
176,C2002750382,1,F,M1823072687,es_transportation,62.27,0
144,C380412694,1,M,M348934600,es_transportation,28.89,0
86,C1225704566,2,F,M348934600,es_transportation,10.81,0
22,C792341594,3,M,M1823072687,es_transportation,10.44,0
176,C671524709,5,F,M1823072687,es_transportation,35.76,0
107,C210584188,4,M,M1823072687,es_transportation,10.59,0
92,C862785719,3,F,M348934600,es_transportation,25.05,0
154,C971766834,2,F,M1823072687,es_transportation,3.88,0
87,C935791733,3,U,M1823072687,es_transportation,27.93,0
166,C538394574,2,M,M1823072687,es_transportation,84.12,0
103,C719205737,3,F,M85975013,es_food,37.3,0
34,C1929968596,2,F,M1823072687,es_transportation,54.34,0
90,C947010068,4,F,M1823072687,es_transportation,51.65,0
0,C672742304,4,M,M348934600,es_transportation,10.84,0
88,C719205737,3,F,M348934600,es_transportation,17.1,0
75,C1314533733,2,M,M348934600,es_transportation,19.15,0
92,C1768220463,4,M,M1823072687,es_transportation,11.36,0
76,C901739086,2,M,M1823072687,es_transportation,30.35,0
164,C1341662543,3,F,M1823072687,es_transportation,34.9,0
167,C1767103563,3,F,M349281107,es_fashion,39.23,0
103,C1947369699,5,F,M1823072687,es_transportation,10.2,0
41,C205797331,4,F,M1053599405,es_health,116.11,0
105,C1068772542,1,M,M1823072687,es_transportation,19.93,0
7,C775101977,3,M,M348934600,es_transportation,63.05,0
84,C2039473569,2,M,M1823072687,es_transportation,47.73,0
171,C859741683,5,F,M1823072687,es_transportation,14.34,0
82,C1555517201,6,F,M1352454843,es_hotelservices,123.22,0
179,C739658140,2,M,M1946091778,es_wellnessandbeauty,8.73,0
90,C2001183195,2,M,M348934600,es_transportation,23.55,0
61,C1791793827,4,M,M151143676,es_barsandrestaurants,35.58,0
77,C1347371891,2,M,M1600850729,es_fashion,28.01,0
172,C841956493,2,F,M1823072687,es_transportation,0.74,0
51,C420348872,3,M,M348934600,es_transportation,6.39,0
29,C859276623,4,F,M1823072687,es_transportation,29.67,0
171,C297351696,1,M,M1823072687,es_transportation,5.84,0
98,C744126786,2,F,M1823072687,es_transportation,43.16,0
131,C1122303126,4,F,M1649169323,es_sportsandtoys,143.17,0
165,C168191673,1,F,M1823072687,es_transportation,12.87,0
19,C1191796691,4,F,M348934600,es_transportation,23.95,0
109,C2075898645,2,F,M1823072687,es_transportation,12.25,0
148,C1918935856,4,M,M1823072687,es_transportation,11.66,0
104,C1125832994,3,F,M1823072687,es_transportation,15.89,0
95,C628112283,3,M,M85975013,es_food,11.06,0
4,C1160118068,2,M,M348934600,es_transportation,0.85,0
154,C95082443,2,M,M348934600,es_transportation,30.67,0
166,C1486017704,3,F,M348934600,es_transportation,12.48,0
59,C1963249369,4,F,M1823072687,es_transportation,19.69,0
178,C389281305,1,F,M1823072687,es_transportation,25.46,0
78,C959506480,1,F,M1823072687,es_transportation,0.41,0
167,C843090653,4,F,M85975013,es_food,67.33,0
142,C2080100346,2,F,M1823072687,es_transportation,26.28,0
156,C1087227796,2,M,M1823072687,es_transportation,14.35,0
127,C250546729,4,M,M348934600,es_transportation,28.62,0
125,C220694569,3,M,M348934600,es_transportation,29.4,0
93,C2081591507,3,F,M1823072687,es_transportation,42.5,0
66,C478715873,5,F,M348934600,es_transportation,42.15,0
52,C1644291222,2,F,M348934600,es_transportation,32.63,0
48,C883803148,1,F,M348934600,es_transportation,39.42,0
32,C1643168823,1,F,M348934600,es_transportation,54.4,0
80,C1897689911,3,M,M348934600,es_transportation,47.17,0
48,C286547187,2,M,M348934600,es_transportation,25.43,0
43,C1376957295,2,M,M348934600,es_transportation,14.13,0
23,C297351696,1,M,M348934600,es_transportation,27.14,0
38,C2064491438,5,F,M348934600,es_transportation,38.31,0
149,C281474709,5,F,M1823072687,es_transportation,17.02,0
119,C1591587046,3,M,M348934600,es_transportation,5.98,0
46,C1415453492,2,F,M1823072687,es_transportation,66.2,0
18,C1872660217,4,F,M1823072687,es_transportation,21.51,0
150,C1415704373,3,F,M348934600,es_transportation,58.27,0
20,C1525581466,1,F,M348934600,es_transportation,6.88,0
78,C1740393527,2,F,M1823072687,es_transportation,49.97,0
